t,h,C,T,F0,C0
(s),(m),(mol/m3),(K),(m3/hr),(mol/m3)
0,0.28,0.88,350.1,2.01,0.99
10,0.32,0.73,350.0,1.86,1.04
20,0.28,0.67,350.8,1.75,0.98
30,0.30,0.61,348.9,1.67,0.95
40,0.24,0.67,349.7,1.68,0.99
50,0.21,0.63,349.2,1.53,0.91
60,0.22,0.59,349.5,1.40,0.93
70,0.21,0.62,349.6,1.40,0.96
80,0.19,0.62,349.3,1.54,1.02
90,0.23,0.73,349.5,1.75,1.02
100,0.21,0.68,349.2,1.89,0.98
110,0.23,0.73,349.9,1.82,1.04
120,0.19,0.72,349.7,1.79,1.05
130,0.25,0.72,349.1,1.81,1.10
140,0.26,0.74,349.9,1.73,1.06
150,0.25,0.74,349.2,1.76,1.11
160,0.22,0.75,349.1,1.70,1.11
170,0.23,0.74,349.1,1.67,1.08
180,0.23,0.73,350.1,1.67,1.13
190,0.19,0.76,349.0,1.63,1.17
200,0.24,0.80,349.9,1.73,1.26
210,0.24,0.85,350.0,1.84,1.29
220,0.24,0.87,348.9,1.93,1.19
230,0.24,0.82,349.2,1.99,1.13
240,0.28,0.81,349.3,1.99,1.17
250,0.31,0.83,349.2,1.85,1.27
260,0.27,0.88,349.4,1.61,1.40
270,0.27,0.86,348.9,1.60,1.31
280,0.21,0.87,349.2,1.54,1.20
290,0.21,0.82,349.0,1.66,1.19
300,0.23,0.82,349.8,1.44,1.07
310,0.18,0.75,349.2,1.26,1.02
320,0.17,0.69,349.2,1.36,0.94
330,0.16,0.65,349.4,1.37,0.93
340,0.16,0.67,348.7,1.30,1.00
350,0.14,0.67,349.1,1.33,0.93
360,0.11,0.66,349.6,1.41,0.92
370,0.14,0.65,349.6,1.55,0.92
380,0.14,0.68,349.0,1.45,0.95
390,0.17,0.72,349.3,1.56,1.06
400,0.19,0.76,349.4,1.62,0.95
410,0.16,0.74,349.0,1.63,0.92
420,0.21,0.64,350.4,1.88,0.87
430,0.24,0.72,350.2,1.94,1.09
440,0.23,0.76,348.7,1.95,1.17
450,0.22,0.84,349.5,1.84,1.32
460,0.29,0.89,348.2,2.01,1.36
470,0.25,0.92,348.7,2.00,1.35
480,0.28,0.91,349.0,1.91,1.35
490,0.26,0.84,349.2,2.02,1.32
500,0.30,0.85,349.0,2.05,1.30
510,0.28,0.87,350.0,1.84,1.37
520,0.27,0.88,348.9,1.75,1.36
530,0.31,0.88,350.2,1.80,1.38
540,0.29,0.89,349.7,1.75,1.26
550,0.26,0.77,350.4,1.88,1.10
560,0.29,0.77,350.0,2.14,1.13
570,0.32,0.76,350.7,2.18,1.11
580,0.32,0.80,349.3,2.18,1.22
590,0.31,0.76,348.9,2.11,1.18
600,0.33,0.78,349.4,2.04,1.19
610,0.34,0.73,349.7,2.02,1.13
620,0.35,0.72,350.0,2.07,1.08
630,0.31,0.71,349.1,2.17,1.05
640,0.36,0.72,349.7,2.16,1.20
650,0.34,0.75,349.5,1.91,1.19
660,0.30,0.69,350.6,1.65,1.12
670,0.25,0.70,348.6,1.65,1.14
680,0.27,0.71,348.4,1.46,1.20
690,0.23,0.72,349.3,1.54,1.15
700,0.25,0.71,348.9,1.58,1.01
710,0.19,0.68,348.6,1.65,1.00
720,0.18,0.73,349.2,1.61,1.01
730,0.19,0.70,348.8,1.59,1.07
740,0.19,0.73,347.9,1.62,1.04
750,0.16,0.72,348.0,1.57,0.94
760,0.19,0.70,348.3,1.53,1.09
770,0.17,0.71,347.6,1.51,1.01
780,0.23,0.73,347.1,1.47,1.02
790,0.16,0.71,347.5,1.37,0.95
800,0.17,0.65,347.7,1.33,0.87
810,0.13,0.62,348.1,1.44,0.80
820,0.15,0.68,348.3,1.26,0.91
830,0.14,0.62,348.0,1.32,0.80
840,0.15,0.60,347.5,1.45,0.85
850,0.20,0.59,347.8,1.66,0.87
860,0.17,0.65,348.3,1.70,0.90
870,0.20,0.69,347.7,1.77,0.94
880,0.22,0.66,348.7,1.80,0.88
890,0.20,0.58,348.2,1.80,0.88
900,0.22,0.61,349.0,1.76,0.91
910,0.25,0.64,348.3,1.80,0.92
920,0.27,0.63,348.9,1.84,0.86
930,0.28,0.64,347.7,1.89,0.95
940,0.25,0.67,347.7,1.99,1.00
950,0.30,0.63,348.7,1.98,0.96
960,0.31,0.65,348.5,2.00,0.83
970,0.29,0.59,348.0,2.09,0.74
980,0.31,0.53,348.5,2.07,0.74
990,0.32,0.51,349.2,2.02,0.69
